XYZ (16012 points)
413209.827 4916091.540 7.731
400581.392 4916573.430 68.051
390430.064 4916456.480 80.187
380630.000 4918330.000 90.361
375680.000 4925140.000 127.746
371747.051 4934484.890 205.174
372380.000 4948020.000 228.750
372590.000 4959360.000 293.661
372790.000 4971110.000 391.988
373210.000 4983070.000 450.362
373540.714 4995898.110 416.441
373620.000 5008640.000 428.358
374240.000 5021830.000 421.598
373620.000 5033380.000 474.257
372790.000 5043890.000 448.249
371938.409 5055438.660 356.890
371113.670 5066951.730 239.309
371116.930 5078570.160 213.133
370320.000 5089250.000 216.297
369700.000 5098530.000 202.224
368260.000 5109250.000 411.080
367070.000 5116400.000 600.000
365940.000 5125140.000 600.000
364750.000 5132840.000 600.000
363570.000 5143800.000 600.000
360670.000 5158140.000 595.193
357940.000 5171040.000 530.463
355880.000 5181070.000 465.969
351970.000 5198940.000 420.036
349500.000 5210690.000 488.311
345210.000 5225540.000 600.000
338390.000 5248340.000 600.000
333360.000 5264330.000 600.000
328920.000 5276180.000 600.000
324600.000 5290600.000 600.000
318260.000 5306690.000 600.000
310940.000 5320170.000 175.154
304930.000 5330670.000 224.060
299300.000 5340150.000 358.593
292490.000 5349330.000 249.272
284200.000 5361770.000 349.743
276500.000 5373910.000 166.554
267610.000 5386350.000 220.964
259810.000 5398510.000 297.870
251150.000 5411300.000 257.212
243730.000 5420570.000 240.834
236510.000 5430060.000 471.490
229680.412 5439240.390 170.029
219194.798 5452311.760 184.083
211980.000 5463040.000 185.382
206870.000 5471920.000 155.776
201460.000 5480570.000 180.230
195280.000 5490050.000 261.713
189920.000 5497480.000 459.334
182410.000 5507640.000 400.986
174990.000 5516980.000 473.553
167850.000 5526050.000 203.320
160700.000 5535120.000 405.291
154380.000 5544460.000 342.944
147510.000 5554630.000 500.136
144805.000 5558915.000 189.862
142100.000 5563200.000 190.007
138645.000 5568365.000 147.379
135190.000 5573530.000 352.881
132495.000 5577625.000 593.239
129800.000 5581720.000 444.844
125740.000 5587205.000 323.436
121680.000 5592690.000 299.473
118055.000 5597305.000 209.078
114430.000 5601920.000 200.412
110880.000 5606455.000 206.695
107330.000 5610990.000 241.840
102395.000 5616855.000 235.164
97460.000 5622720.000 274.989
92585.184 5629095.480 195.533
87710.368 5635470.970 140.000
77895.739 5649719.980 65.696
73550.000 5666540.000 86.506
77370.000 5678280.000 122.738
84470.000 5690830.000 162.096
92930.000 5700110.000 211.390
100332.360 5706291.850 215.555
109850.000 5713750.000 209.359
118467.341 5719643.170 192.813
127590.000 5726040.000 168.906
135521.421 5731128.040 127.317
141480.000 5733030.000 50.628
405601.673 4923417.670 54.110
413804.064 4925484.490 7.641
395991.919 4927250.000 76.943
385565.454 4927033.510 72.648
379535.055 4937049.260 130.050
382255.010 4948399.180 132.665
383511.518 4958428.670 156.635
382206.566 4967648.880 196.912
382671.453 4978486.440 359.302
382796.732 4989714.940 362.220
382062.278 5001194.750 366.240
381689.624 5012461.470 425.581
383531.995 5021401.360 402.814
383032.017 5030811.060 426.638
381005.717 5040498.890 440.685
379458.855 5050754.280 313.912
379252.109 5060871.470 214.075
378888.170 5070301.530 187.877
379695.273 5078074.260 157.661
378139.303 5086019.290 160.044
376495.523 5094994.320 164.490
375297.041 5103824.850 160.996
374439.925 5112220.210 170.510
373374.083 5120474.240 600.000
372797.918 5129218.390 505.077
370369.949 5138751.990 600.000
369270.001 5149293.200 600.000
369987.430 5158283.780 600.000
